code;nm;crmorgunitid;k7m_flag;start_date;end_date;guid;tmp
Байкальский банк;NULL;1-1GR8;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Ангарское отделение;1-7KLMCI;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Братское отделение;1-7KLM9U;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Бурятское отделение № 8601;1-7KLME3;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Иркутское отделение № 8586;1-7KLM99;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Читинское отделение № 8600;1-7KLM9I;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Якутское отделение № 8603;1-7KLN90;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;null;1-1HMV;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Банк Татарстан отделение №8610;1-7KLQR3;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Березниковское отделение;1-7KLH60;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Владимирское отделение №8611;1-7KLQPC;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Восточное отделение №1016;1-1TO00A7;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;ГО по Нижегородской области;1-PPG1WR;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Дзержинское отделение;1-1ZPBCDU;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Кировское отделение №8612;1-7KLPGL;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Марий Эл отделение №8614;1-7KLPCC;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Мордовское отделение №8589;1-7KLPER;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Набережно-Челнинское отделение;1-203E53Q;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Пермское отделение № 6984;1-KHRTYJ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Удмуртское отделение 8618;1-7KLH66;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Чайковское отделение;1-7KLH4R;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Чувашское отделение №8613;1-7KLPIL;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;null;1-6L12;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Биробиджанское ГОСБ № 4157;1-7KLN0Q;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Благовещенское ГОСБ № 8636;1-7KLMX2;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Камчатское ГОСБ № 8556;1-7KLN7U;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Находкинское отделение № 7151;1-7KLMZQ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Приморское ГОСБ № 8635;1-7KLN15;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Северо-Восточное ГОСБ № 8645;1-2GVQ3E0;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Хабаровское ГОСБ № 9070;1-MDNDZ5;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Центральное отделение № 4205;1-7KLN3W;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Южно-Сахалинское ГОСБ № 8567;1-7KLMYH;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Чукотское отделение №1009 (№8557);1-29BA944;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;null;1-6L1B;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;Новоуренгойское ГОСБ № 8369;1-7KLMPM;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;Омское ГОСБ № 8634;1-7KLMKD;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;Салехардское ОСБ № 1790;1-7KLMR4;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;Сургутское ГОСБ № 5940;1-7KLMT4;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;Тюменское ГОСБ № 0029;1-7KLMRG;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;Ханты-Мансийское ОСБ №1791;1-7KLMO4;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Московский банк;null;1-79U5;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Московский банк;УПРАВЛЕНИЕ по работе с предприятиями инфраструктуры;1-F3GF5YG;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Московский банк;УПРАВЛЕНИЕ по работе с предприятиями промышленности;1-F3GF5YI;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Московский банк;УПРАВЛЕНИЕ по работе с предприятиями сферы недвижимости;1-DKXOLAB;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Московский банк;УПРАВЛЕНИЕ по работе с предприятиями сферы услуг;1-DTJ3M3O;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Московский банк;УПРАВЛЕНИЕ по работе с предприятиями торговли;1-DSJTMEG;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Московский банк;УПРАВЛЕНИЕ по работе с предприятиями транспорта;1-DU5BELH;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Поволжский банк;null;1-6L21;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Поволжский банк;Автозаводское головное отделение на правах управления;1-7KLGHB;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Поволжский банк;Астраханское отделение № 8625;1-7KLGOH;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Поволжский банк;Волгоградское отделение № 8621;1-7KLGLT;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Поволжский банк;Оренбургское отделение № 8623;1-7KLGPW;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Поволжский банк;Пензенское отделение № 8624;1-7KLGJQ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Поволжский банк;Самарское отделение № 6991;1-7KLGG5;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Поволжский банк;Саратовское отделение № 8622;1-7KLG7T;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Поволжский банк;Ульяновское отделение № 8588;1-7KLG5Z;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;null;1-6L2I;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;Архангельское отделение № 8637;1-7KLIOH;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;Вологодское отделение № 8638;1-7KLIM5;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;ГО по ЛО;1-7XC3CV;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;ГО по СПБ;1-7XC36I;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;ГОСБ Калининградское;1-7KLKRI;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;ГОСБ Карельское;1-7KLKQX;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;ГОСБ Мурманское;1-7KLKOF;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;ГОСБ Новгородское;1-7KLKYR;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;ГОСБ Псковское;1-7KLKVC;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;Коми отделение № 8617;1-7KLH6C;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;Северодвинское отделение;1-FPQRXL;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;Усинское отделение;1-7KLH73;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;Ухтинское отделение;1-7KLH6I;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;Череповецкое отделение;1-FCKQ7P;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Северо-Западный банк;Ненецкое отделение №1582;1-FQ5SYD;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;null;1-6L30;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Абаканское отделение № 8602;1-7KLK22;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Алтайское отделение № 8644;1-1GQU;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Кемеровское отделение № 8615;1-7KLJ96;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Красноярское отделение № 8646;1-131L45M;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Новокузнецкое отделение Кемеровского отделения № 8615;1-7KLJ0I;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Новосибирское отделение № 8047;1-7KLJB6;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Норильское отделение Красноярского отделения № 8646;1-7KLK1B;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Томское отделение № 8616;1-7KLIZ6;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Бийское отделение №1001;1-7KLLHJ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Горно-Алтайское ГОСБ;1-7KLLRA;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Ачинское  отделение №1002;1-7KLK72;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Сибирский банк;Кызылское ГОСБ;1-7KLK3Z;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;null;1-12NT;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Брянское отделение № 8605;1-7KLHMP;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Видновское отделение;1-7KLHJM;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Восточное отделение по Московской области;1-7KLI9M;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Западное отделение по Московской области;1-7KLHK7;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Ивановское отделение № 8639;1-7KLIMZ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Калужское отделение № 8608;1-7KLHRD;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Клинское отделение;1-7KLIFD;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Коломенское отделение № 1555;1-7KLHDY;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Костромское отделение № 8640;1-7KLIR5;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Люберецкое отделение;1-7KLHI7;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Ногинское отделение;1-7KLHEA;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Орехово-Зуевское отделение;1-7KLICY;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Рыбинское отделение;1-7KLIQZ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Рязанское отделение № 8606;1-7KLIB1;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Северное отделение по Московской области;1-7KLHIV;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Серпуховское отделение № 1554;1-7KLI5M;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Смоленское отделение № 8609;1-7KLHKY;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Тверское ГОСБ № 8607;1-7KLIDP;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Тульское ГОСБ № 8604;1-7KLIEP;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Химкинское отделение;1-7KLI6V;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Южное отделение по Московской области;1-7KLI1A;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Ярославское отделение № 17;1-7KLIUH;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Обнинское отделение №1085;1-7KLIES;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Новомосковское отделение №1043;1-7KLI9P;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Раменское отделение №1016;1-7KLI1V;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Красногорское отделение №1008;1-7KLHHP;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Дмитровское отделение №1003;1-7KLHF1;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Королевское отделение №1005;1-7KLHFJ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Среднерусский банк;Щелковское отделение №1022;1-7KLI8G;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Уральский банк;null;1-6L38;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Уральский банк;Башкирское головное отделение № 8598;1-7KLNC1;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Уральский банк;Курганское головное отделение № 8599;1-7KLNIA;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Уральский банк;Магнитогорское отделение (на правах управления) №1693;1-7KLOI1;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Уральский банк;Нижнетагильское отделение (на правах управления) №0232;1-7KLO1S;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Уральский банк;Свердловское головное отделение № 7003;1-7KLNRA;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Уральский банк;Стерлитамакское отделение (на правах управления) №4594;1-7KLNUD;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Уральский банк;Челябинское головное отделение № 8597;1-7KLNES;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Центрально-Черноземный банк;null;1-12PA;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Центрально-Черноземный банк;Белгородское отделение № 8592;1-7KLFT1;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Центрально-Черноземный банк;Головное отделение по Воронежской обл.;1-JSF6WN;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Центрально-Черноземный банк;Курское отделение № 8596;1-7KLFQA;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Центрально-Черноземный банк;Липецкое отделение № 8593;1-7KLG1D;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Центрально-Черноземный банк;Орловское отделение № 8595;1-7KLFV4;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Центрально-Черноземный банк;Тамбовское отделение № 8594;1-7KLG07;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;null;1-6KRN;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Адыгейское ОСБ № 8620;1-7KLLV5;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Армавирское ОСБ № 8619/0550 (1827);1-7KLLUN;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Буденновское ОСБ (на правах управления) Ставропольского ОСБ;1-7KLJSJ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Волгодонское ОСБ № 5221/0870 (7931);1-7KLLV2;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Дагестанское ОСБ № 8590;1-7KLJPV;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Изобильненское ОСБ (на правах управления) Ставропольского ОСБ;1-7KLJWP;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Ингушское ОСБ № 8633;1-7KLJKV;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Кабардино-Балкарское ОСБ № 8631;1-7KLJM4;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Калмыцкое ОСБ № 8579;1-7KLJP4;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Карачаево-Черкесское ОСБ№ 8585;1-7KLJLA;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Краснодарский ГОСБ № 8619;1-7KLLSK;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Новороссийское ОСБ № 8619/0200 (68);1-7KLLWE;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Пятигорское ОСБ (на правах управления) Ставропольского ОСБ;1-7KLJHP;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Ростовский ГОСБ № 5221;1-7KLLVZ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Северо-Осетинское ОСБ № 8632;1-7KLJNM;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Ставропольский ГОСБ № 5230;1-7KLJJP;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Таганрогское ОСБ № 5221/0553 (1548);1-7KLLWZ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Тимашевское ОСБ № 8619/0499 (1816);1-7KLLYW;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Центральное ОСБ № 1806;1-7KLLTW;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Юго-Западный банк;Чеченское ОСБ № 8643;1-7KLJZJ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Центральный аппарат;Центральный аппарат;0-R9NH;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL