nn;nm;vid;ob;up
;вынос учтенной платы за неполное исполнение условий (оформл.имущ. обеспеч.);Не используется;0;
;вынос учтенной платы за открытие лимита овердрафта;Не используется;0;
;вынос учтенной платы за пользование открытым лимитом;Не используется;0;
;вынос учтенных процентов-отложенных на просрочку;Не используется;0;
;выплата просроченных процентов;Не используется;0;
;выплата средств по гарантии;Не используется;0;
;гаш_комис_счет;Не используется;0;
;гашение дебиторской задолженности по мбк;Гашение;Основной долг;
;гашение зафиксированной в дату реструктуризации просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;гашение неустойки за просроченную задолженность выплаченных средства по гарантии;Гашение;Пени;
;гашение неустойки за просроченную комиссию за открытие лимита овердрафта;Гашение;Пени;
;гашение неустойки за просрочку вознаграждения(проц.) за выдачу гарантии;Гашение;Пени;
;гашение неустойки за просрочку вознаграждения(фикс.) за выдачу гарантии;Гашение;Пени;
;гашение неустойки за просрочку платы за вынужденное отвлечение средств;Гашение;Пени;
;гашение неустойки за просрочку платы за невыполнение условий по обеспечению(доп.);Гашение;Пени;
;гашение неучтенной просроченной комиссии за открытие лимита овердрафта;Гашение;Комиссия;
;гашение неучтенной просроченной платы за неполное исполнение обязательств в части объема обеспечения;Гашение;Комиссия;
;гашение неучтенной просроченной платы за пользование лимита;Гашение;Комиссия;
;гашение неучтенной просроченной платы за пользование лимитом;Гашение;Комиссия;
;гашение пени за пользование лимита;Гашение;Пени;
;гашение пени за пользование лимитом;Гашение;Пени;
;гашение пени за просрочку оформления залога и страхов.;Гашение;Пени;
;гашение платы за резервирование кюл (ген. согл.);Гашение;Комиссия;
;гашение почтовых расходов и пр.(присужденных) на в/б;Гашение;Комиссия;
;гашение присужденной неустойки за просрочку платы за неполное исполнение обязательств в части объема;Гашение;Пени;
;гашение присужденной неустойки за просрочку платы за неполное исполнение обязательств в части страхо;Гашение;Пени;
;гашение присужденной неустойки по плате за пользование лимита;Гашение;Пени;
;гашение присужденной неустойки по плате за пользование лимитом;Гашение;Пени;
;гашение присужденной неучтенной просроченной плата за пользование лимита;Гашение;Комиссия;
;гашение присужденной неучтенной просроченной платы за обслуживание кредита;Гашение;Комиссия;
;гашение присужденной просроченной платы за пользование лимита;Гашение;Комиссия;
;гашение присужденной просроченной платы за пользование лимитом;Гашение;Комиссия;
;гашение присужденных почтовых услуг и п.р.;Гашение;Пени;
;гашение присужденных срочных процентов на внебалансе;Гашение;Проценты;
;гашение просроченной комиссии за открытие лимита овердрафта;Гашение;Комиссия;
;гашение просроченной платы за пользование лимита;Гашение;Комиссия;
;гашение просроченной платы за пользование лимитом;Гашение;Комиссия;
;гашение просроченной суммы вознаграждения(проц.) за выдачу гарантии;Гашение;Комиссия;
;гашение просроченной суммы вознаграждения(фикс.) за выдачу гарантии;Гашение;Комиссия;
;гашение просроченной суммы выплаченных средств по гарантии;Гашение;Комиссия;
;гашение процентов (субсидия);Гашение;Проценты;
;гашение учтенная плата за пользование лимита;Гашение;Комиссия;
;гашение учтенной комиссии за пользование лимита;Гашение;Комиссия;
;гашение учтенной комиссии за пользование лимитом;Гашение;Комиссия;
;гашение учтенной перенесенной в срочную просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;гашение учтенной платы за неполное исполнение условий (оформл.имущ. обеспеч.);Гашение;Комиссия;
;гашение учтенной платы за открытие лимита овердрафта;Гашение;Комиссия;
;гашение учтенной платы за резервирование;Гашение;Комиссия;
;гашение учтенной платы за резервирование ресурсов (периодическая);Гашение;Комиссия;
;гашение учтенной суммы вознаграждения(фикс.) за выдачу гарантии;Гашение;Комиссия;
;гашение учтенных процентов по договору;Гашение;Проценты;
;иаск. квитовка платы за пользование лимитом;Не используется;0;
;излишне перечисленные средства;Не используется;0;
;изменение суммы гарантии;Не используется;0;
;импорт. погашение пени по кредиту;Гашение;Пени;
;импорт. погашение пени по процентам;Гашение;Пени;
;импорт: погашение платы за выдачу кредита/открытие кредитной линии;Не используется;0;
;квитовка . гашение неустойки за пр.проценты, признанной в дату реструктуризации;Не используется;0;
;квитовка . погашение неустойки за пр.проценты, признанной в дату реструктуризации;Не используется;0;
;квитовка. гашение неустойки за пр. плату за ведение с/с, признанной в дату реструктуризации;Не используется;0;
;квитовка. гашение неустойки за пр.кредит, признанной в дату реструктуризации;Не используется;0;
;квитовка. гашение присужденных пени за кредит;Не используется;0;
;квитовка. гашение присужденных пени за проценты;Не используется;0;
;квитовка. погашение неустойки за пр.кредит, признанной в дату реструктуризации;Не используется;0;
;квитовка. погашение неустойки по плате за обслуживание кредита (в абсолютном выражении);Не используется;0;
;квитовка. погашение неустойки присужденной к получению;Не используется;0;
;квитовка. погашение присужденной неустойки по плате за обслуживание кредита;Не используется;0;
;квитовка. погашение присужденных пени за кредит;Не используется;0;
;квитовка. погашение присужденных пени за проценты;Не используется;0;
;квитовка. погашение присужденных расходов на третейский сбор;Не используется;0;
;комиссия за выдачу гарантии;Гашение;Комиссия;
;-компенсация пени по просроченной ссудной задолженности;Не используется;0;
;начисление пени за несвоевременное оформление страхового полиса;Не используется;0;
;начисление платы за страхование;Не используется;0;
;начисление процентов;Не используется;0;
;начислены судебные издержки;Не используется;0;
;не определено;Не используется;0;
;-неустойка за просрочку платы за пользование лимитом;Не используется;0;
;-основной долг на в/б, списанный за счет прибыли;Не используется;0;
;пеня за просрочку комиссии за открытие;Гашение;Пени;
;-перенесенная в срочную просроченная плата за обслуживание кредита;Не используется;0;
;перенос в отдельный график погашения просроченных в/б процентов;Не используется;0;
;перенос неучтенной неустойки по кредиту зафикс. в дату реструктуризации во внесистемную;Не используется;0;
;перенос неучтенной неустойки по процентам зафикс. в дату реструктуризации во внесистемную;Не используется;0;
;перенос платы за обслуживание в отложенную/фиксированную;Не используется;0;
;перенос присужденной просроченной платы за ведение ссудного счета в срочную;Не используется;0;
;перенос присужденной просроченной платы за обслуживание кредита в срочную;Не используется;0;
;перенос присужденной просроченной платы за пользование лимитом в срочную;Не используется;0;
;перенос присужденных пени за кредит в признанные по мс;Не используется;0;
;перенос присужденных пени за проценты в признанные по мс;Не используется;0;
;перенос просроченной задолж. по кредиту (присужденной);Не используется;0;
;перенос просроченной платы за пользование лимита в срочную;Не используется;0;
;перенос просроченной платы за пользование лимитом в срочную;Не используется;0;
;перенос просроченных процентов (присужденных) на текущие счета;Не используется;0;
;перенос просроченных процентов (присужденных) на текущие счета (внебаланс);Не используется;0;
;перенос процентов по договору на балансовый учет;Не используется;0;
;перенос учтенных %% при пролонгации;Не используется;0;
;плата за вынужденное отвлечение средств;Гашение;Комиссия;
;плата за невыполнение условий по обеспечению(доп.);Гашение;Комиссия;
;плата за невыполнение условий по обеспечению(обяз.);Гашение;Комиссия;
;плата за необеспечение по гарантии (периодическая);Гашение;Комиссия;
;плата за неполное исп.усл. кредитного дог.(обесп);Гашение;Комиссия;
;плата за пользование лимита;Гашение;Комиссия;
;-плата за пользование лимита;Не используется;0;
;-плата за пользование лимитом;Не используется;0;
;погашение госпошлины;Гашение;Госпошлина;
;погашение госпошлины и др. затрат;Гашение;Госпошлина;
;погашение дебиторской задолженности по мбк;Гашение;Основной долг;
;погашение задолженности по кредиту присужденной к получению;Гашение;Основной долг;
;погашение задолженности по процентам;Гашение;Проценты;
;погашение зафиксированной в дату реструктуризации просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;погашение зафиксированной в дату реструктуризации просроченной платы за обслуживание кредита;Гашение;Комиссия;
;погашение комиссии за досрочное погашение кредита;Гашение;Комиссия;
;погашение кредита;Гашение;Основной долг;
;погашение кредита за счет досрочно уплаченных процентов и комиссий;Гашение;Основной долг;
;погашение кредита списанного на внебаланс;Гашение;Основной долг;
;погашение неустойки за невыполнение заемщиком обязательств по обеспечению поступлений выручки;Гашение;Пени;
;погашение неустойки за неисполнение обязательств по страхованию;Гашение;Пени;
;погашение неустойки за непредоставленные вовремя документы;Гашение;Пени;
;погашение неустойки за пр. плату за ведение с/с, признанной в дату реструктуризации;Гашение;Пени;
;погашение неустойки за пр.кредит, признанной в дату реструктуризации;Гашение;Пени;
;погашение неустойки за пр.проценты, признанной в дату реструктуризации;Гашение;Пени;
;погашение неустойки за просроченную комиссию за открытие лимита овердрафта;Гашение;Пени;
;погашение неустойки за просрочку вознаграждения(проц.) за выдачу гарантии;Гашение;Пени;
;погашение неустойки за просрочку вознаграждения(фикс.) за выдачу гарантии;Гашение;Пени;
;погашение неустойки за просрочку платы за вынужденное отвлечение средств;Гашение;Пени;
;погашение неустойки за просрочку платы за невыполнение условий по обеспечению(доп.);Гашение;Пени;
;погашение неустойки за просрочку платы за невыполнение условий по обеспечению(обяз.);Гашение;Пени;
;погашение неустойки за просрочку платы за пользование открытым лимитом (присужденной);Гашение;Пени;
;погашение неустойки за просрочку платы за резервирование кюл;Гашение;Пени;
;погашение неустойки за просрочку по плате за необеспечение;Гашение;Пени;
;погашение неустойки по плате за выдачу кредита/открытие кредитной линии;Гашение;Пени;
;погашение неустойки по плате за неполное исполнение обязательств в части объема обеспечения;Гашение;Пени;
;погашение неустойки по плате за неполное исполнение обязательств в части страхования;Гашение;Пени;
;погашение неустойки по плате за обслуживание кредита (в абсолютном выражении);Гашение;Пени;
;погашение неустойки присужденной к получению;Гашение;Пени;
;погашение неучтенной просроч. платы за неполное исполн. обязательств в части объема обеспечения;Гашение;Пени;
;погашение неучтенной просроченной комиссии за открытие лимита овердрафта;Гашение;Комиссия;
;погашение неучтенной просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;погашение неучтенной просроченной платы за обслуживание кредита;Гашение;Комиссия;
;погашение неучтенной просроченной платы за обслуживание кредита (фиксированная сумма);Гашение;Комиссия;
;погашение неучтенной просроченной платы за пользование лимитом;Гашение;Комиссия;
;погашение неучтенной просроченной платы за пользование открытым лимитом;Гашение;Комиссия;
;погашение неучтенной просроченной платы за резервирование кюл;Гашение;Комиссия;
;погашение основного долга, списанного на в/б за счет резерва;Гашение;Основной долг;
;погашение отложенных процентов в фикс. суммах;Гашение;Проценты;
;погашение пени за ведение ссудного счета;Гашение;Пени;
;погашение пени за неполное исполнение условий (страх.);Гашение;Пени;
;погашение пени за обслуживание кредита;Гашение;Пени;
;погашение пени за открытие кредитной линии;Гашение;Пени;
;погашение пени за пользование лимитом;Гашение;Пени;
;погашение пени за просрочку платы за неполн.исполн;Гашение;Пени;
;погашение пени за просрочку платы за пользование открытым лимитом;Гашение;Пени;
;погашение пени за резервирование ресурсов;Гашение;Пени;
;погашение пени по договору;Гашение;Пени;
;погашение пени по кредиту;Гашение;Пени;
;погашение пени по процентам;Гашение;Пени;
;погашение пени, присужденной судом;Гашение;Пени;
;погашение перенесенной в срочную просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;погашение перенесенной в срочную просроченной платы за обслуживание кредита;Гашение;Комиссия;
;погашение плат и комиссий списанных за счет резерва;Гашение;Комиссия;
;погашение платы за внесение изменений в кд и дп;Гашение;Комиссия;
;погашение платы за выдачу кредита/открытие кредитной линии_сев;Гашение;Комиссия;
;погашение платы за неполное исполнение обязательств в части объема обеспечения;Гашение;Комиссия;
;погашение платы за неполное исполнение обязательств в части страхования;Гашение;Комиссия;
;погашение платы за открытый лимит;Гашение;Комиссия;
;погашение платы за резервирование;Гашение;Комиссия;
;погашение платы за резервирование кюл;Гашение;Комиссия;
;погашение платы за резервирование кюл (ген. согл.);Гашение;Комиссия;
;погашение платы за реструктуризацию;Гашение;Комиссия;
;погашение пр. процентов на внебалансе;Гашение;Проценты;
;погашение присужд. неустойки за просрочку платы за неполное исполнение обязательств в части объема;Гашение;Пени;
;погашение присужд. неустойки за просрочку платы за неполное исполнение обязательств в части страхо;Гашение;Пени;
;погашение присужд. просроченной платы за неполное исполнение обязательств в части объема обеспечен;Гашение;Комиссия;
;погашение присужденного основного долга на в/б, списанного за счет резерва;Гашение;Основной долг;
;погашение присужденного третейского сбора, списанного на внебаланс;Гашение;Госпошлина;
;погашение присужденной госпошлины;Гашение;Госпошлина;
;погашение присужденной госпошлины, списанной на внебаланс;Гашение;Госпошлина;
;погашение присужденной неустойки по плате за ведение ссудного счета;Гашение;Пени;
;погашение присужденной неустойки по плате за обслуживание кредита;Гашение;Пени;
;погашение присужденной неустойки по плате за пользование лимитом;Гашение;Пени;
;погашение присужденной неучтенной просроченной плата за пользование лимитом;Гашение;Комиссия;
;погашение присужденной неучтенной просроченной платы за обслуживание кредита;Гашение;Комиссия;
;погашение присужденной просроченной задолж. по проц. на внебалансе;Гашение;Проценты;
;погашение присужденной просроченной задолженности по процентам;Гашение;Проценты;
;погашение присужденной просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;погашение присужденной просроченной платы за неполное исполнение обязательств в части страхования;Гашение;Комиссия;
;погашение присужденной просроченной платы за обслуживание кредита;Гашение;Комиссия;
;погашение присужденной просроченной платы за пользование лимитом;Гашение;Комиссия;
;погашение присужденной просроченной ссудной задолженности;Гашение;Основной долг;
;погашение присужденных неполученных процентов списанных на в/б;Гашение;Проценты;
;погашение присужденных неустоек, списанных на внебаланс;Гашение;Пени;
;погашение присужденных пени за кредит;Гашение;Пени;
;погашение присужденных пени за проценты;Гашение;Пени;
;погашение присужденных почтовых услуг и п.р.;Гашение;Пени;
;погашение присужденных расходов на оценку залога;Гашение;Пени;
;погашение присужденных расходов на третейский сбор;Гашение;Госпошлина;
;погашение присужденных расходов на экспертизу;Гашение;Пени;
;погашение присужденных срочных процентов на внебалансе;Гашение;Проценты;
;погашение просроч. платы за неполн.исполн.усл.кр.дог;Гашение;Комиссия;
;погашение просроченной задолженности;Гашение;Основной долг;
;погашение просроченной комиссии за открытие лимита овердрафта;Гашение;Комиссия;
;погашение просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;погашение просроченной платы за невыполнение условий по обеспечению(доп.);Гашение;Комиссия;
;погашение просроченной платы за неполное исполнение обязательств в части объема обеспечения;Гашение;Комиссия;
;погашение просроченной платы за неполное исполнение обязательств в части страхования;Гашение;Комиссия;
;погашение просроченной платы за обслуживание кредита;Гашение;Комиссия;
;погашение просроченной платы за обслуживание кредита (в абсолютном выражении);Гашение;Комиссия;
;погашение просроченной платы за обслуживание кредита присужденной к получению;Гашение;Комиссия;
;погашение просроченной платы за пользование лимитом;Гашение;Комиссия;
;погашение просроченной платы за пользование открытым лимитом;Гашение;Комиссия;
;погашение просроченной платы за пользование открытым лимитом (присужденной);Гашение;Комиссия;
;погашение просроченной платы за резервирование кюл;Гашение;Комиссия;
;погашение просроченной ссуды, списанной на в/б;Гашение;Основной долг;
;погашение просроченной суммы вознаграждения(проц.) за выдачу гарантии;Гашение;Комиссия;
;погашение просроченной суммы вознаграждения(фикс.) за выдачу гарантии;Гашение;Комиссия;
;погашение просроченных процентов на в/б присужденных к получению;Гашение;Проценты;
;погашение просроченных процентов на внебалансе;Гашение;Проценты;
;погашение просроченных процентов присужденных к получению;Гашение;Проценты;
;погашение процентов;Гашение;Проценты;
;погашение процентов на внебалансе, перенесенных из просроченных;Гашение;Проценты;
;погашение процентов ну;Гашение;Проценты;
;погашение процентов списанных на внебаланс;Гашение;Проценты;
;погашение процентов, перенесенных из просроченных;Гашение;Проценты;
;погашение процентов-отложенных;Гашение;Проценты;
;погашение прочих неустоек, признанных в дату реструктуризации;Гашение;Пени;
;погашение учт на внеб процентов за пр кредит (112);Гашение;Проценты;
;погашение учтенная плата за ведение ссудного счета;Гашение;Комиссия;
;погашение учтенная плата за пользование лимитом;Гашение;Комиссия;
;погашение учтенной комиссии за ведение ссудного счета;Гашение;Комиссия;
;погашение учтенной комиссии за пользование лимитом;Гашение;Комиссия;
;погашение учтенной неустойки за пр.кредит, признанной в дату реструктуризации;Гашение;Пени;
;погашение учтенной неустойки за пр.проценты, признанные в дату реструктуризации;Гашение;Пени;
;погашение учтенной перенесенной в срочную просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;погашение учтенной перенесенной в срочную просроченную плату за обслуживание кредита;Гашение;Комиссия;
;погашение учтенной платы за неполное исполнение условий (оформл.имущ. обеспеч.);Гашение;Комиссия;
;погашение учтенной платы за обслуживание кредита;Гашение;Комиссия;
;погашение учтенной платы за обслуживание кредита (фиксированная сумма);Гашение;Комиссия;
;погашение учтенной платы за открытие лимита овердрафта;Гашение;Комиссия;
;погашение учтенной платы за резервирование;Гашение;Комиссия;
;погашение учтенной платы за резервирование ресурсов (периодическая);Гашение;Комиссия;
;погашение учтенной платы за реструктуризацию;Гашение;Комиссия;
;погашение учтенных на внебалансе отложенных процентов;Гашение;Проценты;
;погашение учтенных на внебалансе процентов;Гашение;Проценты;
;погашение учтенных на внебалансе процентов-отложенных;Гашение;Проценты;
;погашение учтенных отложенных процентов в фикс. суммах;Гашение;Проценты;
;погашение учтенных процентов;Гашение;Проценты;
;погашение учтенных процентов, зафиксированных на дату реструктуризации;Гашение;Проценты;
;погашение учтенных процентов-отложенных;Гашение;Проценты;
;признание неустойки за непредоставленные документы по страхованию и залогу в дату реструктуризации;Не используется;0;
;присуждение неустойки за просрочку платы за пользование открытым лимитом;Не используется;0;
;присуждение неустойки по плате за пользование лимита;Не используется;0;
;присуждение неустойки по плате за пользование лимитом;Не используется;0;
;присуждение просроченной платы за неполное исполнение обязательств в части объема обеспечения;Не используется;0;
;присуждение просроченной платы за обслуживание кредита(фикс сумма);Не используется;0;
;присуждение просроченной платы за пользование лимита;Не используется;0;
;присуждение просроченной платы за пользование лимитом;Не используется;0;
;присуждение просроченной платы за пользование открытым лимитом;Не используется;0;
;присуждение учтенной неустойки, зафиксированной в дату реструктуризации;Не используется;0;
;продажа. неустойка за просрочку платы за ведение ссудного счета;Не используется;0;
;продажа. неустойка за просрочку платы за ведение ссудного счета (присужд);Не используется;0;
;продажа. неустойка за просрочку платы за использование лимита;Не используется;0;
;продажа. неустойка за просрочку платы за обслуживание кредита;Не используется;0;
;продажа. неустойка за просрочку платы за обслуживание кредита (присужденная);Не используется;0;
;продажа. неустойка за просрочку платы за пользование лимита;Не используется;0;
;продажа. неустойка за просрочку платы за пользование лимитом;Не используется;0;
;продажа. неустойка за просрочку платы за пользование открытым лимитом;Не используется;0;
;продажа. отражение прибыли от реализации;Не используется;0;
;продажа. плата за ведение ссудного счета;Не используется;0;
;продажа. плата за обслуживание кредита;Не используется;0;
;продажа. плата за пользование лимита;Не используется;0;
;продажа. плата за пользование лимитом;Не используется;0;
;продажа. плата за пользование открытым лимитом;Не используется;0;
;продажа. просроченная плата за ведение ссудного счета;Не используется;0;
;продажа. просроченная плата за использование лимита;Не используется;0;
;продажа. просроченная плата за неполное исполнение обязательств в части объема обеспечения;Не используется;0;
;продажа. просроченная плата за обслуживание кредита;Не используется;0;
;продажа. просроченная плата за обслуживание кредита (присужденная);Не используется;0;
;продажа. просроченная плата за обслуживание кредита (фиксированная сумма);Не используется;0;
;продажа. просроченная плата за пользование лимита;Не используется;0;
;продажа. просроченная плата за пользование лимитом;Не используется;0;
;продажа. списание госпошлины;Не используется;0;
;продажа. списание госпошлины (присужденной) на в/б;Не используется;0;
;продажа. списание госпошлины, затрат по реализации, прочих расходов;Не используется;0;
;продажа. списание неполученных списанных присужденных процентов;Не используется;0;
;продажа. списание неуст. за пр.кредит в дату реструктуризации;Не используется;0;
;продажа. списание неуст. за пр.проценты в дату реструктуризации;Не используется;0;
;продажа. списание неустоек (присужденных) на в/б;Не используется;0;
;продажа. списание пени присужденной судом;Не используется;0;
;продажа. списание почтовых услуг и п.р. (присужденных);Не используется;0;
;продажа. списание просроченных процентов;Не используется;0;
;продажа. списание просроченных процентов, присужденных к получению;Не используется;0;
;продажа. списание расходов на оценку залога (присужденных);Не используется;0;
;продажа. списание расходов на экспертизу (присужденных);Не используется;0;
;продажа. списание срочных процентов на внебалансе (присужденных);Не используется;0;
;продажа. списание срочных процентов учтенных на в/б;Не используется;0;
;продажа. списание учт. неуст. за пр.кредит в дату реструктуризации;Не используется;0;
;продажа. списание учт. неуст. за пр.проценты в дату реструктуризации;Не используется;0;
;продажа. списание учтённых отложенных процентов;Не используется;0;
;продажа. списание учтённых отложенных процентов на внебалансе;Не используется;0;
;продажа. списание учтенных процентов на балансе;Не используется;0;
;продажа.просроченная плата за пользование открытым лимитом;Не используется;0;
;продажа.списание основного долга (присужд) с внебаланса;Не используется;0;
;продажа.списание третейского сбора (присужденного) на в/б;Не используется;0;
;расходы по гос. регистрации договора залога;Не используется;0;
;расходы по оценке предмета залога;Не используется;0;
;списание гарантии с внебалансового учета;Не используется;0;
;списание лимита договора гарантии;Не используется;0;
;списание невыбранных средств;Не используется;0;
;списание неустойки за просрочку платы за неполное исполн обязательств в части объема за счет резерва;Списание;Пени;
;списание неустойки за просрочку платы за неполное исполн обязательств в части страхо за счет резерва;Списание;Пени;
;списание неустойки за просрочку платы за пользование лимита (присужденная) за счет резерва;Списание;Пени;
;списание неустойки за просрочку платы за пользование лимитом (присужденная) за счет резерва;Списание;Пени;
;списание неустойки за просрочку платы за пользование открытым лимитом (присужденной);Списание;Пени;
;списание неучтенной просроч платы за обслуживание кредита (присужденная) за счет резерва;Не используется;0;
;списание присужд. почтовых услуг и пр. за счет резерва;Списание;Комиссия;
;списание присужд. расходов на оценку залога  за счет резерва;Списание;Комиссия;
;списание просроч платы за неполное исполн обязательств в части объема обеспечен за счет резерва;Списание;Комиссия;
;списание просроч платы за пользование лимита (присужденная) за счет резерва;Списание;Комиссия;
;списание просроч платы за пользование лимитом (присужденная) за счет резерва;Списание;Комиссия;
;списание просроч платы за пользование открытым лимитом за счет резерва;Списание;Комиссия;
;списание просроченной платы за неполное исполнение обязательств в части страхования за счет резерва;Списание;Комиссия;
;списание просроченной платы за неполное исполнение обяз-в в части объема обеспечения за счет резерва;Списание;Комиссия;
;списание процентов по кредиту в рамках грейс-периода;Списание;Проценты;
;списание процентов учтенных на внебалансе по кредиту в рамках грейс-периода;Списание;Проценты;
;списание процентов, зафиксированных на дату реструктуризации за счет резерва;Списание;Проценты;
;списание прочих неустоек, зафиксированных в дату реструктуризации за счет резерва;Списание;Пени;
;списание расходов на экспертизу (присужденных) на в/б;Списание;Комиссия;
;списание с внебаланса имущества в залоге;Не используется;0;
;списание учтенной платы за ведение ссудного счета за счет резерва;Списание;Комиссия;
;списание учтённых отложенных процентов на в/б;Списание;Проценты;
;списание учтённых отложенных процентов на внебалансе на в/б;Списание;Проценты;
;списание фикс в дату реструктур просроч платы за обслуживание кредита за счет резерва;Списание;Комиссия;
;сторнирование неустойки за просрочку страхования;Не используется;0;
;транзит аккредитива;Не используется;0;
;требование на уплату комиссии;Не используется;0;
;требования  на уплату комиссии;Не используется;0;
;увеличение лимита договора гарантии;Не используется;0;
;удержан 1 % налог;Не используется;0;
;удержан 1 % налог (просроченные проценты);Не используется;0;
;удержан 1 % налог с платы за использование лимита;Не используется;0;
;удержан 10 % налог (просроченные проценты);Не используется;0;
;удержан 10 % налог с платы за использование лимита;Не используется;0;
;удержан 10 % налог с платы за пользование лимитом;Не используется;0;
;уменьшение лимита договора гарантии;Не используется;0;
;уменьшение присужденной просроченной ссудной задолженности по мс;Не используется;0;
;уменьшение присужденных процентов на внебалансе по мс;Не используется;0;
;уменьшение присужденных процентов по мс;Не используется;0;
;уплата вознаграждения(проц.) за выдачу гарантии;Гашение;Комиссия;
;уплата вознаграждения(фикс.) за выдачу гарантии;Гашение;Комиссия;
;уплата налога с материальной выгоды;Не используется;0;
;уплата не взысканной по гарантии суммы;Гашение;Основной долг;
;учет комиссии за пользование лимита;Не используется;0;
;учет комиссии за пользование лимитом;Не используется;0;
;учет пени за неуплаченную в срок комиссию;Не используется;0;
;учет перенесенной в срочную просроченной платы за ведение ссудного счета;Не используется;0;
;учет перенесенной в срочную просроченную плату за обслуживание кредита;Не используется;0;
;учет плата за пользование лимита;Не используется;0;
;учет плата за пользование лимитом;Не используется;0;
;учет платы за неполное исполнение условий (оформл.имущ. обеспеч.);Не используется;0;
;учет платы за пользование открытым лимитом;Не используется;0;
;учет платы за резервирование ресурсов (периодическая);Не используется;0;
;учет процентов за кредит ну;Не используется;0;
;учет процентов за пр.кредит в дату реструктуризации;Не используется;0;
;учет процентов по гарантии;Не используется;0;
;учет суммы вознаграждения(проц.) за выдачу гарантии на счете требований;Не используется;0;
;учет суммы вознаграждения(фикс.) за выдачу гарантии на счете требований;Не используется;0;
;фиксирование в дату реструктуризации просроченной платы за ведение ссудного счета;Не используется;0;
