regime_prod;N;use
0000 Задолженность, приравненная к ссудной - договор уступки прав (цессия) с отсрочкой платежа;NULL;исключить
;20;исключить
0000 Задолженность, приравненная к ссудной - кредитный договор;NULL;исключить
;50;исключить
0000 Задолженность, приравненная к ссудной - невозобновляемая кр линия;NULL;исключить
;5;исключить
1104 Возобновляемый кредит;546;исключить
1104 Единовременный кредит;22;исключить
1104 Кредит на неотложные нужды;256;исключить
1104 Кредит на неотложные нужды (НКЛ);2;исключить
1188_ВКЛ_Коммерческое кредитования;14;исключить
1221-р - Кредитный договор;201;исключить
1221-р Возобновляемая кредитная линия;741;исключить
1221-р Невозобновляемая кредитная линия;272;исключить
1221/Авто - Возобновляемая кредитная линия;1;исключить
1221/Авто - Кредитная линия с графиком выборки/отлаг.условия;1;исключить
1221/Авто - Кредитный договор;222;исключить
1221/Авто - Невозобновляемая кредитная линия;188;исключить
1221/Актив - Возобновляемая кредитная линия;11;исключить
1221/Актив - Кредитный договор;65;исключить
1221/Актив - Невозобновляемая кредитная линия;82;исключить
1221/Аренда - Возобновляемая кредитная линия;1;исключить
1221/Аренда - Кредитный договор;13;исключить
1221/Аренда - Невозобновляемая кредитная линия;36;исключить
1221/Аренда - Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;1;исключить
1221/ГАЗ - Кредитный договор;1;исключить
1221/Госзаказ - Кредитный договор;5;исключить
1221/Госзаказ - Невозобновляемая кредитная линия;12;исключить
1221/Доверие - Кредитный договор;209;исключить
1221/Инвест - Возобновляемая крелитная линия;1;исключить
1221/Инвест - Кредитный договор;312;исключить
1221/Инвест - Невозобновляемая кредитная линия;394;исключить
1221/Инвест - Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;11;исключить
1221/Недвижимость - Возобновляемая кредитная линия;2;исключить
1221/Недвижимость - Кредитный договор;13;исключить
1221/Недвижимость - Невозобновляемая кредитная линия;28;исключить
1221/Недвижимость - Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;1;исключить
1221/Оборот - Возобновляемая кредитная линия;498;исключить
1221/Оборот - Кредитный договор;456;исключить
1221/Оборот - Невозобновляемая кредитная линия;893;исключить
1221/Оборот - Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;12;исключить
1221/Оборот- Невозобновляемая кредитная линия;1279;исключить
1221/Рента - Кредитная линия;3;исключить
1221/Рента - Кредитный договор;2;исключить
1234-р Займ в драгоценном металле;79;исключить
1296-р Невозобновляемая кредитная линия под залог будущего урожая;4;исключить
1397-р Возобновляемая кредитная линия для торговых сетей;84;исключить
1404-р Невозобновляемая кредитная линия по жилищному строительству;62;исключить
1413-р Невозобновляемая кредитная линия - финансирование за счет зарубежных банков;1;исключить
1464-р Кредит для девелоперской деятельности;1;исключить
1464-р Невозобновляемая кредитная линия для девелоперской деятельности;42;исключить
1469-р Кредит под залог коммерческой недвижимости;15;исключить
1469-р Невозобновляемая кредитная линия под залог коммерческой недвижимости;35;исключить
1490 Контрактное кредитование предприятий ОПК - возобновляемая кр линия;1;исключить
1490 Контрактное кредитование предприятий ОПК - кредитный договор;2;исключить
1490 Контрактное кредитование предприятий ОПК - невозобновляемая кр линия;28;исключить
1514-р Кредит на финансирование розничного лизинга;168;исключить
1514-р Кредитная линия на финансирование розничного лизинга;400;исключить
1514-р Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;1;исключить
1531 Кредитование при использовании аккредитивов на территории РФ - кредитный договор;1;исключить
1531 Кредитование при использовании аккредитивов на территории РФ - невозобновляемая кр линия;4;исключить
1597-р Кредит СМП на приобретение транспортных средств;30;исключить
1597-р Кредитная линия СМП на приобретение транспортных средств;13;исключить
"1598-р Кредит по программе ""Коммерческая недвижимость""";4;исключить
"1598-р Кредитная линия по программе ""Коммерческая недвижимость""";6;исключить
"1710-р Кредит СМиСП по программе ""Госзаказ""";16;исключить
"1710-р Кредитная линия СМиСП по программе ""Госзаказ""";14;исключить
"1948. Кредит ""Доверие"" ЮЛ/ИП";137;исключить
"1948. Кредит ""Доверие"" ЮЛ/ИП. Аннуитет.";108;исключить
"1948. Кредит ""Доверие"" ЮЛ/ИП. Аннуитет. OLD";8;исключить
"1948. Кредит ""Доверие"" ЮЛ/ИП. Аннуитет._OLD";36;исключить
"1948. Кредит ""Экспресс-Авто"" ЮЛ/ИП";1;исключить
1948. СМАРТ-кредит. ЮЛ/ИП  Аннуитет (МАЛЫЙ);24;исключить
1948. СМАРТ-кредит. ЮЛ/ИП  Аннуитет (МИКРО);13;исключить
1948. Экспресс-овердрафт;1;исключить
2115 Кр-ср экспресс-кредитование;62;исключить
2162 Кредитование под залог коммерческой недвижимости - невозобновляемая кр линия;298;исключить
"2216. ""Бизнес-Проект"". НКЛ. ДИФ";1;исключить
"2216. ""Бизнес-авто"" Диф";28;исключить
"2216. ""Бизнес-авто"" НКЛ";22;исключить
"2216. ""Бизнес-актив"" Диф";9;исключить
"2216. ""Бизнес-актив"" НКЛ";6;исключить
"2216. ""Бизнес-доверие"" ВКЛ";2;исключить
"2216. ""Бизнес-доверие"" Диф";5;исключить
"2216. ""Бизнес-инвест"" Диф";15;исключить
"2216. ""Бизнес-инвест"" НКЛ";33;исключить
"2216. ""Бизнес-недвижимость"" Диф";5;исключить
"2216. ""Бизнес-недвижимость"" НКЛ";1;исключить
"2216. ""Бизнес-оборот"" ВКЛ Диф";318;исключить
"2216. ""Бизнес-оборот"" Диф";54;исключить
"2216. ""Бизнес-оборот"" НКЛ Диф";87;исключить
"2216. ""Бизнес-рента"" ВКЛ Диф";1;исключить
"2216. ""Гос-заказ"" Диф";14;исключить
"2216. ""Гос-заказ"" НКЛ Диф";34;исключить
2216. Бизнес-доверие. Риск на актив. Диф;8;исключить
2216/ Госзаказ ВКЛ;1;исключить
2216/ Контракт внутренний ДИФ;2;исключить
2216/ Контракт внутренний ДИФ (НКЛ);4;исключить
2559 Контрактное кредитование (кроме подрядчиков) - кредитный договор;3;исключить
2559 Контрактное кредитование (кроме подрядчиков) - невозобновляемая кр линия;250;исключить
2559 Контрактное кредитование подрядчиков - кредитный договор;6;исключить
2559 Контрактное кредитование подрядчиков - невозобновляемая кр линия;341;исключить
2559 Кредитование под инкассируемую выручку - возобновляемая кр линия;40;исключить
2559 Кредитование предсезонное недропользователей - невозобновляемая кр линия;20;исключить
2559 Кредитование текущей деятельности недропользователей - возобновляемая кр линия;6;исключить
2559 Кредитование текущей деятельности недропользователей - возобновляемая кр линия с дифф ставками;1;исключить
2559 Кредитование текущей деятельности недропользователей - невозобновляемая кр линия;5;исключить
2559 Кредитование текущей деятельности подрядчиков - кредитный договор;1;исключить
2559 Кредитование текущей деятельности подрядчиков - невозобновляемая кр линия;67;исключить
2667 Индивидуальный Овердрафт в валюте РФ;2;оставить
2667 Индивидуальный овердрафт (потраншевый);1783;оставить
2667 Индивидуальный овердрафт (с обнулением);1736;оставить
2667 Овердрафт с общим лимитом (1 типа);12;исключить
2667 Овердрафт с общим лимитом (2 типа);4;исключить
2667 Экспресс-овердрафт  (потраншевый);177;исключить
2667 Экспресс-овердрафт (с обнулением);114;исключить
279-3р МБ_Овердрафтное кредитование в валюте РФ;43;оставить
2816 Финансирование операций корпоративного лизинга - кредитный договор;7;исключить
2816 Финансирование операций корпоративного лизинга - невозобновляемая кр линия;267;исключить
2816 Финансирование проектов розничного лизинга - кредитный договор;8;исключить
2816 Финансирование проектов розничного лизинга - невозобновляемая кр линия;176;исключить
357 Кредитование экспортно-импортных операций - возобновляемая кр линия;19;исключить
357 Кредитование экспортно-импортных операций - кредитный договор;580;исключить
357 Кредитование экспортно-импортных операций - невозобновляемая кр линия;276;исключить
357-р Возобновляемая кредитная линия по экспортно-импортным операциям;2;исключить
479 Инвестиционное кредитование - кредитный договор;2025;исключить
479 Инвестиционное кредитование - невозобновляемая кр линия;15230;исключить
479 Проектное финансирование - кредитный договор;23;исключить
479 Проектное финансирование - невозобновляемая кр линия;1056;исключить
479-Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;44;исключить
479-р МБ_Кредит (инвестиционный проект);6;исключить
479-р МБ_Кредитная линия на финансирование стройпроектов;5;исключить
479-р МБ_Невозобновляемая кредитная линия (инвестиционный проект);33;исключить
479-р НКЛ (лимит выдач с лимитом задолженности)  инвестиционный проект;21;исключить
479-р НКЛ (лимит выдачи с лимитом задолженности)  финансирование стройпроектов;10;исключить
480-р Кредит предприятиям золотодобывающей промышленности;3;исключить
480-р Невозобновляемая кредитная линия предприятиям золотодобывающей промышленности;159;исключить
593-2р МБ_Гарантии, номинированные в валюте РФ;42;исключить
593-2р МБ_Гарантии, номинированные свободно-конвертируемой валюте;4;исключить
607 Кредитование СМО - возобновляемая кр линия;3;исключить
607 Кредитование СМО - кредитный договор;8;исключить
607 Кредитование СМО - невозобновляемая кр линия;8;исключить
607-р Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;2;исключить
722 Корпоративный кредит (НКЛ);1;исключить
931 Корпоративное кредитование - возобновляемая кр линия;55814;оставить
931 Корпоративное кредитование - возобновляемая кр линия с дифференцированными ставками;308;исключить
931 Корпоративное кредитование - кредитный договор;26814;оставить
931 Корпоративное кредитование - кредитный договор в рамках ВРКЛ ДС;2722;исключить
931 Корпоративное кредитование - невозобновляемая кр линия;46683;оставить
931 Кредитование ККФЗ - возобновляемая кр линия;43;оставить
931 Кредитование ККФЗ - возобновляемая кр линия с дифференцированными ставками;7;исключить
931 Кредитование ККФЗ - кредитный договор;10;оставить
931 Кредитование ККФЗ - кредитный договор в рамках ВРКЛ ДС;68;исключить
931 Кредитование ККФЗ - невозобновляемая кр линия;60;оставить
931 На условиях либерализации (кроме выданных ККФЗ) - возобновляемая кр линия;5;оставить
931 На условиях либерализации (кроме выданных ККФЗ) - кредитный договор в рамках ВРКЛ ДС;1;исключить
931 На условиях либерализации (кроме выданных ККФЗ) - невозобновляемая кр линия;3;оставить
931 Тендерный кредит - возобновляемая кр линия;8;исключить
931 Тендерный кредит - кредитный договор;157;исключить
931 Тендерный кредит - кредитный договор в рамках ВРКЛ ДС;14;исключить
931 Тендерный кредит - невозобновляемая кр линия;79;исключить
931-р Возобновляемая кредитная линия на приобретение векселей;77;оставить
931-р МБ_Возобновляемая кредитная линия в денежной форме;123;оставить
931-р МБ_Возобновляемая кредитная линия на приобретение векселей;2;исключить
931-р МБ_Краткосрочный кредит в денежной форме;50;исключить
931-р МБ_Краткосрочный кредит на приобретение векселей;19;исключить
931-р МБ_Невозобновляемая кредитная линия в денежной форме;293;исключить
931-р МБ_Невозобновляемая кредитная линия на приобретение векселей;16;исключить
931-р Невозобновляемая кредитная линия на приобретение векселей;50;оставить
931-р Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;303;оставить
9999 Кредитный продукт, не предусмотренный ВНД - возобновляемая кр линия;NULL;исключить
;6;исключить
9999 Кредитный продукт, не предусмотренный ВНД - кредитный договор;149;исключить
9999 Кредитный продукт, не предусмотренный ВНД - кредитный договор в рамках ВРКЛ ДС;NULL;исключить
;1;исключить
9999 Кредитный продукт, не предусмотренный ВНД - невозобновляемая кр линия;78;исключить
CIB - Маржинальное финансирование - возобновляемая кр линия;1;исключить
CIB - Маржинальное финансирование - невозобновляемая кр линия;3;исключить
CIB - Мезонинное финансирование - кредитный договор;1;исключить
CIB - Мезонинное финансирование - невозобновляемая кр линия;4;исключить
Аккредитив;9;исключить
Бизнес-овердрафт;40;исключить
Бизнес-овердрафт (потраншевое);798;исключить
Вексельный кредит;89;исключить
Вексельный кредит (НКЛ);2;исключить
Вексельный кредит (кредит);46;исключить
Вексельный кредит (лимит выдач);19;оставить
Вексельный кредит (под лимит задолжености);26;исключить
Возобновляемая кредитная линия;6539;оставить
Договора уступки прав требования (цессии) с отсрочкой платежа;42;исключить
Доп соглашение, транш ВКЛ;292;исключить
Доп соглашение, транш НКЛ;1;исключить
Доп. соглашение транш (физ. л. диф.);8;исключить
Доп. соглашение, транш;1267;исключить
Жилая недвижимость - финансирование строительства - невозобновляемая кр линия;158;исключить
Инвестиционное кредитование;23;исключить
Инвестиционное кредитование (НКЛ);244;исключить
Инвестиционный кредит;3;исключить
Коммерч недвижимость - комплементарное - кредитный договор;1;исключить
Коммерч недвижимость - комплементарное 2162 - невозобновляемая кр линия;3;исключить
Коммерч недвижимость - финансирование строительства - невозобновляемая кр линия;4;исключить
Коммерческое кредитование;687;оставить
Коммерческое кредитование (ВКЛ);407;оставить
Коммерческое кредитование (НКЛ);493;оставить
Контрактное кредитование предприятий ОПК в рамках ФЦП - невозобновляемая кр линия;1;исключить
Кредит, выданный в рамках  Генерального соглашения об открытии возобновляемой рамочной кредитной лин;38;исключить
Кредитная линия  (лимит задолженности) ;3120;оставить
Кредитная линия (лимит выдач) ;3494;оставить
Кредитная линия (лимит выдач) рам.;207;исключить
Кредитная линия (лимит задол-ти) рам.;136;исключить
Кредитная линия с лимитом выдачи;14;оставить
Кредитная линия с лимитом задолженности;27;оставить
Кредитный договор;11416;оставить
Кредитование жилищного и коммерческого строительства (НКЛ);31;исключить
Микрокредит субъектам малого бизнеса(диф);11;исключить
Микрокредитование;1;исключить
Невозобновляемая кредитная линия;6678;оставить
Невозобновляемая кредитная линия с лимитом задолженности;387;оставить
Невозобновляемая кредитная линия с отлагательными условиями;269;исключить
Обычный;928;исключить
Обычный (в рамках РКЛ);197;исключить
Овердрафт;10619;оставить
Овердрафт 2667;2061;оставить
Овердрафт 279-3-р;14542;оставить
Овердрафт 279-3-р (потраншевый);2567;оставить
Овердрафт с общим лимитом 1-го типа;7;исключить
ПФ - Общие условия - невозобновляемая кр линия;2;исключить
Проектное финансирование (НКЛ);3;исключить
Розничная торговля - корпоративное кредитование - невозобновляемая кр линия;1;исключить
Розничная торговля - кредитование текущей деятельности - возобновляемая кр линия;1;исключить
Розничная торговля - кредитование текущей деятельности - невозобновляемая кр линия;1;исключить
СЗБ.  Кредитный договор в рамках ген. соглашения;7;исключить
СЗБ. 8628 Вексельный кредит(КрД);2;исключить
СЗБ. 8628 Инвестиционное(НКЛ);33;исключить
СЗБ. 8628 Краткосрочное коммерческое(ВКЛ);41;оставить
СЗБ. 8628 Краткосрочное коммерческое(КрД);234;оставить
СЗБ. ВКЛ_Краткосрочное коммерческое кредитование;3;оставить
СЗБ. Вексельный кредит (ВКЛ);12;исключить
СЗБ. Вексельный кредит (КрД);154;исключить
СЗБ. Вексельный кредит (НКЛ);1;исключить
СЗБ. Гарантия исполнения обязательств по договору (контракту);4;исключить
СЗБ. Инвестиционное (ВКЛ);4;исключить
СЗБ. Инвестиционное (КрД);198;исключить
СЗБ. Инвестиционное (НКЛ);1367;исключить
СЗБ. КД__Вексельное кредитование;2;исключить
СЗБ. Краткосрочное вексельное (КрД);8;исключить
СЗБ. Краткосрочное коммерческое (ВКЛ);5876;оставить
СЗБ. Краткосрочное коммерческое (КрД);4081;оставить
СЗБ. Краткосрочное коммерческое (НКЛ);5118;оставить
СЗБ. Краткосрочное коммерческое НКЛ (с лимитом задолженности);11;оставить
СЗБ. Краткосрочное коммерческое(НКЛ);40;оставить
СЗБ. Кредитование строительства (НКЛ);2;исключить
СЗБ. НКЛ_Инвестиционное кредитование;5;исключить
СЗБ. НКЛ_Краткосрочное коммерческое кредитование;4;оставить
СЗБ. СПБ Гарантия;1;исключить
СЗБ. СПБ Овердрафт;6;оставить
СЗБ. Транш кредитной линии ЮрЛ;2;исключить
СЗБ. Транш невозобновляемой кредитной линии;3;исключить
СЗБ. Финансирование Стройпроектов  (НКЛ с лимитом задолженности);1;исключить
СЗБ. Финансирование Стройпроектов  (НКЛ);97;исключить
СЗБ. Финансирование Стройпроектов (КрД);9;исключить
Цессия;97;исключить
Экспортно-импортный ;48;исключить
отменен КД КИЖК строительство недвижимости;1;исключить
